City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Koran,BA,43.8103,18.5689,65.71,39,40,6.91,light rain
1,General Roca,AR,-39.0333,-67.5833,58.62,43,100,9.93,overcast clouds
2,Roald,NO,62.5833,6.1333,52.16,81,20,19.57,few clouds
3,Rikitea,PF,-23.1203,-134.9692,76.37,72,29,6.06,scattered clouds
4,Tasiilaq,GL,65.6145,-37.6368,37.56,73,98,11.74,overcast clouds
5,Lodja,CD,-3.4833,23.4333,70.56,97,100,3.4,overcast clouds
6,Rongcheng,CN,30.634,117.8517,55.96,76,100,4.54,overcast clouds
7,Qaanaaq,GL,77.484,-69.3632,12.06,65,20,5.93,few clouds
8,Wichita Falls,US,33.9137,-98.4934,74.25,45,0,13.8,clear sky
9,Narsaq,GL,60.9167,-46.05,44.82,74,64,4.68,broken clouds
10,Doume,CM,4.2333,13.45,87.31,48,89,4.0,light rain
11,Port Elizabeth,ZA,-33.918,25.5701,66.49,76,0,12.66,clear sky
12,San Luis,AR,-33.295,-66.3356,67.46,23,0,7.4,clear sky
13,Emba,KZ,48.8264,58.1442,57.76,64,73,9.91,broken clouds
14,Ushuaia,AR,-54.8,-68.3,47.86,66,75,5.75,broken clouds
15,Kavieng,PG,-2.5744,150.7967,81.77,75,8,4.41,clear sky
16,Port Alfred,ZA,-33.5906,26.891,65.17,79,5,4.0,clear sky
17,Nikolskoye,RU,59.7035,30.7861,49.87,60,55,5.37,broken clouds
18,Busselton,AU,-33.65,115.3333,57.24,84,2,2.82,clear sky
19,Filingue,NE,14.3521,3.3168,107.53,6,55,6.55,broken clouds
20,Matinhos,BR,-25.8175,-48.5428,75.49,73,81,5.01,broken clouds
21,Bluff,NZ,-46.6,168.3333,52.81,92,20,7.99,few clouds
22,Saint-Philippe,RE,-21.3585,55.7679,78.39,83,46,4.79,scattered clouds
23,Menongue,AO,-14.6585,17.691,70.74,54,14,4.74,few clouds
24,Caucaia,BR,-3.7361,-38.6531,87.04,58,20,19.57,few clouds
25,Evensk,RU,61.95,159.2333,20.53,84,14,6.69,few clouds
26,Kudahuvadhoo,MV,2.6708,72.8944,86.13,75,88,17.54,overcast clouds
27,Jamestown,US,42.097,-79.2353,49.71,84,100,8.05,moderate rain
28,Puerto Ayora,EC,-0.7393,-90.3518,76.96,83,74,6.96,broken clouds
29,Kabanjahe,ID,3.1001,98.4908,63.73,98,97,3.51,light rain
30,Victoria,HK,22.2855,114.1577,65.25,93,100,5.99,heavy intensity rain
31,Pedernales,DO,18.0384,-71.744,77.86,81,100,2.33,overcast clouds
32,Banjar,ID,-8.19,114.9675,78.04,89,99,3.98,overcast clouds
33,Newport,GB,51.5877,-2.9984,53.08,88,100,5.59,overcast clouds
34,Saskylakh,RU,71.9167,114.0833,8.74,98,63,5.19,broken clouds
35,Punta Arenas,CL,-53.15,-70.9167,44.71,87,0,12.66,clear sky
36,Inhambane,MZ,-23.865,35.3833,71.58,83,40,6.91,moderate rain
37,Kutahya,TR,39.4242,29.9833,53.65,68,90,8.55,overcast clouds
38,Albany,US,42.6001,-73.9662,62.58,33,4,1.99,clear sky
